area,is_country,area_standard_name
"Total, all countries or areas",False,World
Africa,False,Africa
Northern Africa,False,Northern Africa
Sub-Saharan Africa,False,Sub-Saharan Africa
Eastern Africa,False,Eastern Africa
Middle Africa,False,Middle Africa
Southern Africa,False,Southern Africa
Western Africa,False,Western Africa
Americas,False,Americas
Northern America,False,Northern America
Latin America & the Caribbean,False,Latin America & the Caribbean
Caribbean,False,Caribbean
Central America,False,Central America
South America,False,South America
Asia,False,Asia
Central Asia,False,Central Asia
Eastern Asia,False,Eastern Asia
South-central Asia,False,South-central Asia
South-eastern Asia,False,South-eastern Asia
Southern Asia,False,Southern Asia
Western Asia,False,Western Asia
Europe,False,Europe
Eastern Europe,False,Eastern Europe
Northern Europe,False,Northern Europe
Southern Europe,False,Southern Europe
Western Europe,False,Western Europe
Oceania,False,Oceania
Australia and New Zealand,False,Australia and New Zealand
Melanesia,False,Melanesia
Micronesia,False,Micronesia
Polynesia,False,Polynesia
Afghanistan,True,Afghanistan
Albania,True,Albania
Algeria,True,Algeria
American Samoa,True,American Samoa
Andorra,True,Andorra
Angola,True,Angola
Anguilla,True,Anguilla
Antigua and Barbuda,True,Antigua and Barbuda
Argentina,True,Argentina
Armenia,True,Armenia
Aruba,True,Aruba
Australia,True,Australia
Austria,True,Austria
Azerbaijan,True,Azerbaijan
Bahamas,True,Bahamas
Bahrain,True,Bahrain
Bangladesh,True,Bangladesh
Barbados,True,Barbados
Belarus,True,Belarus
Belgium,True,Belgium
Belize,True,Belize
Benin,True,Benin
Bermuda,True,Bermuda
Bhutan,True,Bhutan
Bolivia (Plurin. State of),True,Bolivia
"Bonaire, St. Eustatius & Saba",True,"Bonaire, Saint Eustatius and Saba"
Bosnia and Herzegovina,True,Bosnia and Herzegovina
Botswana,True,Botswana
Brazil,True,Brazil
British Virgin Islands,True,British Virgin Islands
Brunei Darussalam,True,Brunei Darussalam
Bulgaria,True,Bulgaria
Burkina Faso,True,Burkina Faso
Burundi,True,Burundi
Cabo Verde,True,Cabo Verde
Cambodia,True,Cambodia
Cameroon,True,Cameroon
Canada,True,Canada
Cayman Islands,True,Cayman Islands
Central African Republic,True,Central African Republic
Chad,True,Chad
Chile,True,Chile
China,True,China
"China, Hong Kong SAR",True,Hong Kong
"China, Macao SAR",True,Macau
